,0
B_quantil 090,0.00015481547556750463
B_mediana,0.00016544658118591293
G_bucket 8,0.0001707621339950949
R_quantil 090,0.00020265545085020875
G_quantil 090,0.0002112932241651322
B_bucket 1,0.0003063087306293122
G_bucket 1,0.0003112920613879577
C_bucket 8,0.0003498298192545324
WVII,0.0003807264699579482
G/B,0.0003983342386383759
R_bucket 1,0.0004092975663073206
C_ptp,0.00042756977908893213
R_bucket 7,0.0004501608785279387
R_cv,0.000509628625580727
G_entropia,0.0005192630650473484
R_quantil 005,0.0006076341305001343
C_bucket 7,0.0006149430156127123
C_bucket 1,0.0022072833040146954
B_bucket 7,0.0022547910572467966
G_bucket 7,0.0024099387548649487
B_min,0.00314846837329128
