,0
B_mediana,0.9564571793654323
B_quantil 001,0.9558686212289146
G_bucket 8,0.955885615872065
R_quantil 090,0.9557374087810375
G_quantil 090,0.9558407137819136
B_bucket 1,0.9557376675827097
G_bucket 1,0.9558132376710334
C_bucket 8,0.955808277305647
WVII,0.955782655940085
R_bucket 1,0.9555322653220943
C_ptp,0.9550572779861228
G/B,0.9546453088573664
R_cv,0.9544487058536105
R_bucket 7,0.9544718686032853
G_entropia,0.953964272256599
C_bucket 7,0.9523852369864166
R_quantil 005,0.9509818417845308
C_bucket 1,0.9501953435022836
B_bucket 7,0.9476344578208484
G_bucket 7,0.7278762527726286
