,0
B_quantil 090,0.9219174555987654
B_mediana,0.9219597881610025
G_bucket 8,0.9218127602008436
R_quantil 090,0.9217744828832034
G_quantil 090,0.9220149607618967
B_bucket 1,0.9217347605997316
G_bucket 1,0.9219381615902511
C_bucket 8,0.9219738655811007
WVII,0.9221554158825371
G/B,0.9218890827861009
R_bucket 1,0.9219173677485222
C_ptp,0.9217402049110727
R_bucket 7,0.9219114734856255
R_cv,0.921921226086166
G_entropia,0.9216111210828611
R_quantil 005,0.921739474416598
C_bucket 7,0.9218187733043265
C_bucket 1,0.9220159688617986
B_bucket 7,0.9215971464040795
G_bucket 7,0.9212670957783275
