,0
R_quantil 090,0.7106493782548624
C_quantil 090,0.7029805239664151
R_quantil 005,0.7142762248910617
R/G,0.7067070092464661
G_quantil 001,0.7158505154639175
B_min,0.7118815761504942
R_bucket 4,0.70632838239983
B_mediana,0.708915665851844
C_ptp,0.7051891805717929
B_quantil 075,0.6998086938038048
C_entropia,0.7094703209692848
G_variancia,0.7092345095121693
TGI,0.7127949303858008
B_quantil 010,0.713293123605059
G/C,0.7051094696567117
C_quantil 099,0.7068431820597301
C_quantil 095,0.7083875810394303
R/B,0.7118682909979807
R_variancia,0.7002603889892656
C_desvio padrao,0.7089123445637155
