,0
B_min,0.641746254192567
C_entropia,0.6478095300148217
R_quantil 075,0.6354819345011162
R_bucket 4,0.6304431281899401
R/G,0.6526557854039583
G_bucket 8,0.6433074354794326
R_quantil 005,0.6492449179883911
G/C,0.6421295877601981
C_ptp,0.6468065692754933
B_quantil 099,0.6433287359400621
G_quantil 001,0.644983287079891
TGI,0.6465104149257799
B_quantil 010,0.6298784492547262
C_bucket 1,0.6456092202354445
C_quantil 095,0.6540062802807017
B_mediana,0.6494985849642715
R/B,0.6459437534146806
R_variancia,0.64377006372596
C_quantil 099,0.6451408589693632
C_desvio padrao,0.652379456672499
