,0
C_ptp,0.0009237875288683473
C_quantil 090,0.0009509577503056477
GLI,0.0009781279717429258
B_quantil 099,0.0009781279717429258
R_quantil 095,0.0010052981931802263
C_entropia,0.0010052981931802484
C_quantil 095,0.0010052981931802484
B_quantil 010,0.001222659964678674
R_quantil 005,0.0012226599646786962
B_min,0.0012226599646786962
TGI,0.0012498301861159967
R/G,0.001521532400489023
G_quantil 001,0.001521532400489045
R_variancia,0.0016030430648009241
G/C,0.0018475750577366945
R/B,0.0018747452791740172
C_desvio padrao,0.002200787936421622
C_bucket 1,0.0022007879364216443
B_mediana,0.002309468822170846
C_quantil 099,0.0023909794864827917
G_quantil 095,0.003206086129601937
