,0
G/B,0.07768692623319702
TGI,0.05542567844997021
GLI,0.0552058413900928
R/B,0.038489512992495555
B/C,0.035914100655242906
G/C,0.03489528955198883
IOR,0.03450632956408242
R/C,0.018798899195938922
WVSI,0.01870098744406185
R/G,0.018175594915047253
B_max,0.016487480598575476
B_quantil 099,0.013561165553386377
B_quantil 075,0.013148188897797751
B_quantil 095,0.013026417271582888
C_entropia,0.012743881977712977
B_quantil 090,0.012370649184092492
B_mediana,0.01212626542715921
B_quantil 005,0.012031087235410486
WVII,0.011329656160733032
B_desvio padrao,0.010780161282319138
B_quantil 025,0.01076520643282137
B_entropia,0.010537691435788588
G_ptp,0.010257457680111336
G_entropia,0.009968056206053719
B_ptp,0.009737299100428198
R_entropia,0.009645734003792013
G_desvio padrao,0.009632566630754642
B_quantil 010,0.00941953253209016
C_cv,0.009226432337830147
R_quantil 001,0.009151900333157933
B_quantil 001,0.008925769426132518
B_variancia,0.00879283318378724
C_desvio padrao,0.008681725597517745
R_quantil 005,0.008423710150087919
C_ptp,0.00839276700575719
R_variancia,0.008291244663271396
B_cv,0.00819676589522703
qtd_pixels,0.008098528971273717
G_cv,0.00809095549642297
R_cv,0.0080592391672039
B_bucket 2,0.008042538966828043
G_variancia,0.008029270869451637
R_desvio padrao,0.007827193672389753
C_quantil 001,0.007763296536776971
B_min,0.0074354950225605735
C_variancia,0.0072713458245794995
G_quantil 001,0.007185524493516971
R_quantil 025,0.007046227778706766
C_quantil 099,0.0069275821409948085
C_quantil 090,0.00686138659319392
R_quantil 095,0.00684470788702588
R_ptp,0.006823167607476272
G_quantil 099,0.0068146249503177655
R_quantil 090,0.006740752733677909
C_mediana,0.006727918069523486
R_quantil 099,0.006619449029050266
C_quantil 010,0.006436132677615749
R_quantil 075,0.006366927263774415
C_quantil 095,0.00626485410184803
C_quantil 025,0.006208056094651536
R_min,0.0061989647010771195
R_quantil 010,0.006066312174027018
C_quantil 005,0.006060440762645683
R_max,0.006036222751076238
G_quantil 095,0.005981762336159266
R_mediana,0.005980975455024381
C_min,0.00593251894918922
G_min,0.005848913585614893
C_max,0.0058019582508905205
C_quantil 075,0.005750031568864496
G_quantil 005,0.005699712538965639
G_max,0.00563272224885672
B_bucket 4,0.005428656211382177
G_quantil 090,0.0051683965857136326
G_quantil 010,0.005021538366093014
G_quantil 075,0.0049888180594287
G_mediana,0.004844184678033147
B_bucket 3,0.004376805774173823
G_quantil 025,0.004325062371117343
R_bucket 3,0.003933247934299187
R_bucket 5,0.0037413903238171205
C_bucket 3,0.0036059458193968092
R_bucket 4,0.003505989068382339
G_bucket 4,0.0034685561804328187
G_bucket 3,0.0033949981557900503
C_bucket 4,0.003358630982024764
B_bucket 5,0.003176295654336607
G_bucket 5,0.0028535811098818428
C_bucket 5,0.002699145522888781
G_bucket 2,0.002303789057270655
C_bucket 2,0.002111277084598978
B_bucket 6,0.002105945820900897
R_bucket 6,0.002097038611941374
G_bucket 6,0.0020684332089622726
C_bucket 6,0.0020435148169456255
R_bucket 2,0.002008110435639873
B_bucket 7,0.0011927768839318452
R_bucket 7,0.0010834934679038735
C_bucket 7,0.0010831931642225525
G_bucket 7,0.0010108818746985032
R_bucket 8,0.0006933638861121631
C_bucket 8,0.0006373621095426696
G_bucket 8,0.0006120317480858584
G_bucket 1,0.0005680315319325221
B_bucket 8,0.000537655062616717
C_bucket 1,0.0004422476269519468
R_bucket 1,0.00032614636061883886
B_bucket 1,0.0002569465831820261
